X(N),Y(E),Z(h)
383813.006 ,187630.839 ,2.2 
383813.889 ,187630.981 ,2.0 
383814.858 ,187631.101 ,1.8 
383815.880 ,187631.259 ,1.7 
383816.918 ,187631.364 ,1.5 
383817.851 ,187631.465 ,1.2 
383819.029 ,187631.562 ,1.0 
383822.317 ,187635.284 ,1.0 
383823.041 ,187636.019 ,0.9 
383823.280 ,187637.010 ,1.2 
383823.496 ,187637.891 ,1.4 
383823.726 ,187638.850 ,1.6 
383823.931 ,187639.777 ,1.8 
383824.249 ,187641.009 ,2.0 
383824.436 ,187641.948 ,2.1 
383824.728 ,187643.146 ,2.1 
383825.041 ,187644.319 ,2.2 
383825.335 ,187645.624 ,2.4 
383825.637 ,187646.811 ,2.4 
383826.336 ,187647.864 ,2.4 
383826.939 ,187648.775 ,2.4 
383827.575 ,187649.692 ,2.4 
383828.152 ,187650.636 ,2.5 
383828.834 ,187651.559 ,2.5 
383829.053 ,187651.916 ,2.5 
383830.036 ,187652.064 ,2.5 
383831.061 ,187652.248 ,2.4 
383832.185 ,187652.450 ,2.3 
383833.373 ,187652.629 ,2.1 
383834.353 ,187652.822 ,2.0 
383839.965 ,187656.458 ,2.0 
383840.236 ,187657.496 ,1.8 
383840.517 ,187658.505 ,1.7 
383840.780 ,187659.550 ,1.4 
383841.118 ,187660.855 ,1.3 
383841.404 ,187662.126 ,0.9 
383846.386 ,187666.978 ,1.2 
383847.307 ,187667.251 ,1.3 
383848.391 ,187667.495 ,1.5 
383849.413 ,187667.756 ,1.6 
383850.264 ,187667.999 ,1.7 
383851.058 ,187668.275 ,1.6 
383852.074 ,187669.052 ,1.6 
383852.968 ,187669.764 ,1.6 
383853.767 ,187670.382 ,1.5 
383854.790 ,187671.191 ,1.4 
383855.732 ,187671.954 ,1.3 
383855.616 ,187671.841 ,1.4 
